Plant_code,Supplier,Material_user_country,Item_weight_kg,One_Year_forecast_qty,12_month_forecast_spend,Price_per_unit_in_JPY
7876 - TSA,AB Linde Maskiner,7876 - TSA,0.357,485,160579.0916,315.6248768
7876 - TSA,Gnotec AB,7876 - TSA,0.013,1539,12879.92714,8.015452742
7876 - TSA,Gnotec AB,7876 - TSA,0.052,0,0,27.06857811
7876 - TSA,Gnotec AB,7876 - TSA,0.19,9859,767615.6575,73.97868678
7876 - TSA,Gnotec AB,7876 - TSA,0.034,0,0,14.8482977
7876 - TSA,Gnotec AB,7876 - TSA,0.033,329,6439.963568,18.9217245
7876 - TSA,Gnotec AB,7876 - TSA,0.055,1341,35699.79804,25.75456947
7876 - TSA,Gnotec AB,7876 - TSA,0.055,332,8819.950104,26.54297465
7876 - TSA,Gnotec AB,7876 - TSA,0.031,1357,25199.85744,18.39612105
7876 - TSA,Gnotec AB,7876 - TSA,0.04,12437,271178.4659,20.76133661
7876 - TSA,Gnotec AB,7876 - TSA,0.059,808,24779.85982,29.43379367
7876 - TSA,Gnotec AB,7876 - TSA,0.059,0,0,25.6231686
8417 - TMBP,Gnotec AB,8417 - TMBP,0.013,0,0,8.015452742
8417 - TMBP,Gnotec AB,8417 - TMBP,0.052,24945,710075.983,27.06857811
8417 - TMBP,Gnotec AB,8417 - TMBP,0.05,588,16099.90892,26.41157379
8417 - TMBP,Gnotec AB,8417 - TMBP,0.078,3950,207198.8278,50.06372942
8417 - TMBP,Gnotec AB,8417 - TMBP,0.039,29650,692856.0804,22.20674612
8417 - TMBP,Gnotec AB,8417 - TMBP,0.138,128,14839.91605,111.0337306
8417 - TMBP,Gnotec AB,8417 - TMBP,0.125,141,16799.90496,114.7129548
8417 - TMBP,Gnotec AB,8417 - TMBP,0.19,0,0,58.21058303
8417 - TMBP,Gnotec AB,8417 - TMBP,0.034,0,0,14.8482977
8417 - TMBP,Gnotec AB,8417 - TMBP,0.033,6351,125719.2888,18.9217245
8417 - TMBP,Gnotec AB,8417 - TMBP,0.055,4420,118999.3268,25.75456947
8417 - TMBP,Gnotec AB,8417 - TMBP,0.055,0,0,26.41157379
8417 - TMBP,Gnotec AB,8417 - TMBP,0.031,4013,77139.56361,18.39612105
8417 - TMBP,Gnotec AB,8417 - TMBP,0.026,8305,166039.0607,19.05312537
8417 - TMBP,Gnotec AB,8417 - TMBP,0.04,0,0,20.76133661
8417 - TMBP,Gnotec AB,8417 - TMBP,0.059,0,0,29.43379367
8417 - TMBP,Gnotec AB,8417 - TMBP,0.06,9683,303378.2837,29.82799627
8417 - TMBP,Gnotec AB,8417 - TMBP,0.059,0,0,25.6231686
8417 - TMBP,Gnotec AB,8417 - TMBP,0.054,4061,617256.5081,144.5409511
8417 - TMBP,Gnotec AB,8417 - TMBP,0.07,453,18199.89704,39.42025939
8431 - UDS(P) LTD,Gnotec AB,8431 - UDS(P) LTD,0.055,0,0,21.41834093
8431 - UDS(P) LTD,Gnotec AB,8431 - UDS(P) LTD,0.19,0,0,73.97868678
7876 - TSA,Shiloh Industries AB,7876 - TSA,0.006,4642,27159.84635,5.650237179
8417 - TMBP,Volvo Lastvagnar AB,8417 - TMBP,0.02,423,3919.977824,8.915348935
8417 - TMBP,Volvo Lastvagnar AB,8417 - TMBP,0.475,1092,582396.7053,506.8059971
8417 - TMBP,Volvo Lastvagnar AB,8417 - TMBP,0.116,0,0,48.26222357
8417 - TMBP,Volvo Lastvagnar AB,8417 - TMBP,0.034,54,5739.967528,103.0530097
8417 - TMBP,Volvo Lastvagnar AB,8417 - TMBP,9.135,598,2222487.427,3530.302679
8417 - TMBP,Volvo Lastvagnar AB,8417 - TMBP,0.026,0,0,67.74261199
8417 - TMBP,Volvo Lastvagnar AB,8417 - TMBP,0.49,0,0,199.8231555
8417 - TMBP,Volvo Lastvagnar AB,8417 - TMBP,10.16,576,3689679.127,6084.164051
8417 - TMBP,Volvo Lastvagnar AB,8417 - TMBP,0.249,0,0,156.4047042
8417 - TMBP,Volvo Lastvagnar AB,8417 - TMBP,0.086,0,0,225.7619069
8417 - TMBP,Volvo Lastvagnar AB,8417 - TMBP,0.313,0,0,163.2140651
