Supplier_Name,PO_ID,Date,Value_INR
BONV Technology Pvt. Ltd.,PUR-ORD-2022-01757,21-12-2022,20000000
Telled Marketing,PUR-ORD-2022-01053-1,16-09-2022,15500000
DELL International Services India Pvt Ltd,PUR-ORD-2024-00843,08-03-2024,8150605
DELL International Services India Pvt Ltd,PUR-ORD-2024-02142,29-07-2024,8150605
Solize India Technologies Pvt Ltd,PUR-ORD-2023-00455,08-03-2023,4850000
Solize India Technologies Pvt Ltd,PUR-ORD-2023-00456-1,08-03-2023,4850000
DELL International Services India Pvt Ltd,PUR-ORD-2024-02153,31-07-2024,4642492
Solize India Technologies Pvt Ltd,PUR-ORD-2022-01166,29-09-2022,4150000
VVDN Technologies Private Limited,PUR-ORD-2022-00897,12-08-2022,3975165
"Maa Vaibhav Laxmi Interiors	",PUR-ORD-2024-00383,05-02-2024,3900000
VVDN Technologies Private Limited,PUR-ORD-2022-00898,12-08-2022,3875786
Telled Marketing,PUR-ORD-2023-00173,23-01-2023,3237836
Solize India Technologies Pvt Ltd,PUR-ORD-2023-02297,28-09-2023,2359162
Manit Consolidated Services,PUR-ORD-2023-03096,13-12-2023,2318500
Solize India Technologies Pvt Ltd,PUR-ORD-2021-00028,29-11-2021,2190000
FILIX CONSULTING PVT LTD ,PUR-ORD-2024-00364-1,02-02-2024,2100000
Envisys Technologies Pvt Ltd,PUR-ORD-2023-01991,28-08-2023,2092500
Manit Consolidated Services,PUR-ORD-2022-00323,16-04-2022,2066900
Massif Marketing,PUR-ORD-2023-03092-1,13-12-2023,2055235.43
Massif Marketing,PUR-ORD-2024-01624,05-05-2024,2048783.53
Shahputra Trading Private Limited,PUR-ORD-2022-00020,11-01-2022,2023229
 Phillips Machine Tools India Pvt. Ltd.,PUR-ORD-2024-01166,01-04-2024,1950000
Massif Marketing,PUR-ORD-2024-01877,29-05-2024,1898976
Massif Marketing,PUR-ORD-2024-00893,13-03-2024,1885653.9
Massif Marketing,PUR-ORD-2024-01123,26-03-2024,1882319.23
Manit Consolidated Services,PUR-ORD-2022-00324,28-04-2022,1879000
Manit Consolidated Services,PUR-ORD-2022-00329-2,28-04-2022,1879000
Shahputra Trading Private Limited,PUR-ORD-2022-01271,12-10-2022,1831321
ANS Associates,PUR-ORD-2023-02061,05-09-2023,1592120
Telled Marketing,PUR-ORD-2023-00402-1,21-02-2023,1550000
Solize India Technologies Pvt Ltd,PUR-ORD-2024-01389-2,16-04-2024,1512250
Envitest Laboratories Pvt Ltd,PUR-ORD-2024-00644-1,24-02-2024,1447126.67
PROLIM Solutions India Pvt Ltd,PUR-ORD-2021-00020,19-11-2021,1400000
DELL INTERNATIONAL SERVICES INDIA PRIVATE LIMITED ,PUR-ORD-2024-00841-1,29-07-2024,1284173
Bhogal Aero Tech,PUR-ORD-2023-03035,08-12-2023,1200000
Shri venkateswara Hi-Tech Machineries Private Limited,PUR-ORD-2024-02283,31-08-2024,1200000
Shri venkateswara Hi-Tech Machineries Private Limited,PUR-ORD-2024-02292,02-09-2024,1125500
Frappe Technologies Pvt. Ltd,PUR-ORD-2023-02161,12-09-2023,1100000
TEAM TECHNOLOGY,PUR-ORD-2023-02525,25-10-2023,1094000
Tonbo Imaging India Private Limited,PUR-ORD-2023-03192,14-12-2023,1065000
Applied RealTech Systems Pvt. Ltd,PUR-ORD-2023-02320,30-09-2023,1025919.76
Bhogal Aero Tech,PUR-ORD-2023-02496,20-10-2023,1000000
SimplyFlying Innovation And Technology Pvt.Ltd,PUR-ORD-2022-00631,28-06-2022,1000000
Shahputra Trading Private Limited,PUR-ORD-2022-01292,14-10-2022,997806.78
