,horizon,mse,rmse,mae,mape,mdape,smape,coverage
0,6 days,7064.992149282412,84.0535076560307,6.019001642023473,0.07241374564884062,0.0017197969746342548,0.027930719403140816,0.4556349146680701
1,7 days,6489.022679341999,80.5544702629345,5.860905667875715,0.0705318539717471,0.0017918954644648285,0.028764423797026803,0.4595744680851064
2,8 days,14161.866714303975,119.00364160101982,8.511536852177093,0.10245513665901204,0.0019075912913840813,0.02865521092643559,0.47382196310037605
3,9 days,22487.83683758711,149.95945064445624,10.949134928791718,0.131874539211979,0.002004818720211898,0.02890209251218751,0.4890976309038781
4,10 days,22080.629747181134,148.59552398097708,10.88573961502171,0.13113578479235885,0.0020986412320884986,0.028836150938344064,0.5021702628875022
5,11 days,20180.085414533743,142.05662749246775,9.727243614357205,0.11719304133394018,0.0021987478593533797,0.028406245453897264,0.5177304964539007
6,12 days,25580.2202603332,159.93817636928713,10.887647502384437,0.13122913730467398,0.0022511288293331224,0.030388355793994955,0.5329599278249756
7,13 days,25290.305156470793,159.02925880626745,10.759571025590544,0.12968547354417417,0.0022982213801817377,0.03330848229272862,0.5457534521213944
8,14 days,24872.590736040253,157.71046489069852,11.292890722818026,0.13598429919792437,0.002456209040848045,0.03444181534593243,0.5553191489361702
9,15 days,41522.621371238245,203.77100228255796,15.064948871736181,0.1812866353186518,0.00262052801985676,0.0345277374473099,0.5715630599934378
10,16 days,59510.97710618061,243.94871818925512,18.740647948222836,0.22551444550154381,0.0027374430944465786,0.03464283659389295,0.5860645842764448
11,17 days,54714.477032954346,233.91125888454866,17.78705552558251,0.21395007869721122,0.002870995941272129,0.03341496969339466,0.598473798962484
12,18 days,46966.70557636996,216.7180324208624,15.220769677941774,0.18303479846595677,0.0030541299952239337,0.03221461383216443,0.6120567375886525
13,19 days,55641.15599762093,235.88377646124994,16.155896717966787,0.1943088049213884,0.0031523055349901245,0.0338203801696722,0.6273613512768463
14,20 days,55574.050240456825,235.74149028216655,16.077636328265108,0.19338729803744667,0.0032299300883685336,0.03535587658225327,0.6394356314061599
15,21 days,55311.22963360289,235.18339574383836,16.72233368588795,0.20111613210342955,0.0033747382106026316,0.0354271689440951,0.6517730496453901
16,22 days,84595.51421164811,290.85308011373735,21.61602723563249,0.2599645031050733,0.003585160430625939,0.03550538701367664,0.6721359884909518
17,23 days,116140.18813788718,340.7934684495687,26.612867653022015,0.3200793510864923,0.003717641449532032,0.03562617157449042,0.6886751169458276
18,24 days,103597.85349775595,321.86620434235704,24.769671163085512,0.2978952701322055,0.0038380873554079735,0.03440415073284855,0.7026038142495552
19,25 days,86075.15217254382,293.38567138247197,20.796819477366135,0.2501136491813117,0.003946769582074836,0.033220322735302135,0.7170212765957447
20,26 days,97742.74109359655,312.63835512233067,21.507835440956054,0.25867527891083325,0.004089746411369641,0.03484925075878488,0.7302709069493523
21,27 days,97905.68362015406,312.8988392758178,21.480293839994637,0.25836695439852764,0.004224455387779717,0.036399686744050225,0.7388040999423602
22,28 days,97797.8364192834,312.72645621898283,22.15461692476299,0.2665052579953782,0.004332057713827905,0.03646757310007382,0.7446808510638298
23,29 days,143374.01829621132,378.64761757630447,28.169554480852668,0.33901871204769835,0.004413668039782414,0.03653330598975718,0.754983468362737
24,30 days,192368.2170509724,438.59801304950344,34.485636167601676,0.41513070414386366,0.004481822474521984,0.036637812738532526,0.7657839142900257
25,31 days,168726.68619409803,410.76354048783105,31.75040313950806,0.3822667365402127,0.004550342303523251,0.0353911595751977,0.7741047039069744
26,32 days,137503.495050472,370.8146370499309,26.36767198567324,0.3175167637846949,0.004577966884598057,0.03417985068050873,0.7858156028368795
27,33 days,151882.640322162,389.7212341176216,26.85096108462885,0.3233882772121981,0.004749625196318158,0.03578502418780282,0.8005363005287823
28,34 days,152283.89652156207,390.23569355142547,26.871457472006046,0.32356688073761036,0.004784290949926256,0.03731398834557942,0.8076435355737664
29,35 days,152331.53541008107,390.2967273883821,27.57391200357921,0.33202878784965134,0.004845395287913283,0.037354291638497704,0.8170212765957446
30,36 days,217861.2853795166,466.7561305216211,34.709861432621274,0.4180350114009943,0.004955423151168608,0.037398354948905595,0.8307589409656496
31,37 days,288201.6153874043,536.844125782712,42.346355443896,0.5100426271485722,0.005087108237559937,0.037495607283912886,0.8372415874452996
32,38 days,250108.91291485593,500.1089010554161,38.721134116356076,0.46639015205576184,0.005291181548497074,0.036245200926057576,0.8399819562438915
33,39 days,201259.7267580283,448.6198020128272,31.930923674855006,0.3846319429639386,0.0054334804329267145,0.03503246378876626,0.85177304964539
34,40 days,218070.96125900044,466.98068617342244,32.18968521484561,0.3877624898265721,0.005694298814409228,0.03665088471350464,0.8573315289577226
35,41 days,218716.99281676117,467.67188585242235,32.26121582864277,0.38850005110142377,0.0059516603154961285,0.03819407636312729,0.8573465654211463
36,42 days,218920.36263418553,467.8892632174685,32.9952130321599,0.3972779180117242,0.0060754748234868065,0.03824936852080698,0.8617021276595744
